timestamp,CO2,T,HR
2025-02-11 16:40:20,508.5139,31.0616,36.3663
2025-02-11 16:41:20,509.1945,31.0349,36.4609
2025-02-11 16:42:20,507.7158,31.0483,36.4334
2025-02-11 16:43:20,507.0131,31.0616,36.4624
2025-02-11 16:44:20,505.7764,31.0777,36.4929
2025-02-11 16:45:20,506.8538,31.0777,36.4655
2025-02-11 16:46:20,509.3475,31.0483,36.4471
2025-02-11 16:47:20,505.6479,31.0483,36.5021
2025-02-11 16:48:20,504.252,31.0349,36.5295
2025-02-11 16:49:20,505.5692,31.091,36.5204
2025-02-11 16:50:20,501.278,31.0616,36.5173
2025-02-11 16:51:20,503.6522,31.091,36.5356
2025-02-11 16:52:20,504.5667,31.0777,36.5341
2025-02-11 16:53:20,503.449,31.0777,36.5067
2025-02-11 16:54:20,501.6275,31.0777,36.5906
2025-02-11 16:55:20,499.3589,31.091,36.5204
2025-02-11 16:56:20,498.2893,31.1044,36.6348
2025-02-11 16:57:20,499.5612,31.0777,36.5616
2025-02-11 16:58:20,500.1738,31.091,36.5631
2025-02-11 16:59:20,497.8893,31.1044,36.5936
2025-02-11 17:00:20,497.9808,31.1044,36.5494
2025-02-11 17:01:20,497.0102,31.1044,36.5219
2025-02-11 17:02:20,494.8698,31.1044,36.5799
2025-02-11 17:03:20,494.0469,31.091,36.5067
2025-02-11 17:04:21,492.6662,31.091,36.5768
2025-02-11 17:05:21,495.7221,31.0616,36.5173
2025-02-11 17:06:21,495.888,31.1044,36.6043
2025-02-11 17:07:21,496.4347,31.0616,36.5616
2025-02-11 17:08:21,496.3332,31.0777,36.6165
2025-02-11 17:09:21,498.6696,31.0777,36.5768
2025-02-11 17:10:21,500.3498,31.1204,36.6074
2025-02-11 17:11:21,501.5413,31.1044,36.5662
2025-02-11 17:12:21,503.3967,31.1044,36.6043
2025-02-11 17:13:21,504.9297,31.1204,36.6348
2025-02-11 17:14:21,507.4615,31.1204,36.6211
2025-02-11 17:15:21,508.6774,31.1204,36.6074
2025-02-11 17:16:21,505.5769,31.1044,36.676
2025-02-11 17:17:21,506.5697,31.1044,36.6623
2025-02-11 17:18:21,506.2702,31.1204,36.6501
2025-02-11 17:19:21,504.2903,31.1337,36.6638
2025-02-11 17:20:21,502.1084,31.1337,36.6501
2025-02-11 17:21:21,500.6852,31.1044,36.6623
2025-02-11 17:22:21,499.7664,31.1204,36.6913
2025-02-11 17:23:21,498.7495,31.1044,36.7172
2025-02-11 17:24:21,497.7084,31.1204,36.7599
2025-02-11 17:25:21,499.7138,31.1471,36.7355
